,Customer Age,Customer Gender,Product Purchased,Ticket Subject,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
2,48,Other,Dell XPS,Network problem,3.0,1849,Medium
3,27,Female,Microsoft Office,Account access,3.0,1727,Medium
4,67,Female,Autodesk AutoCAD,Data loss,1.0,2010,Low
10,48,Male,Nintendo Switch,Data loss,1.0,1660,Low
11,51,Male,Microsoft Xbox Controller,Software bug,1.0,1382,Low
14,48,Female,Sony PlayStation,Product setup,4.0,1985,High
16,63,Other,Xbox,Account access,4.0,1393,High
19,39,Female,Canon EOS,Software bug,5.0,1612,High
28,30,Other,Fitbit Charge,Product recommendation,5.0,1883,High
29,67,Male,Xbox,Cancellation request,1.0,1684,Low
31,60,Male,GoPro Action Camera,Product compatibility,3.0,1325,Medium
33,50,Male,Autodesk AutoCAD,Hardware issue,5.0,1336,High
35,24,Other,GoPro Hero,Product recommendation,1.0,1758,Low
38,19,Male,Google Pixel,Account access,3.0,1426,Medium
41,35,Male,Dell XPS,Product compatibility,3.0,1519,Medium
44,34,Other,HP Pavilion,Product compatibility,2.0,1411,Low
46,50,Female,Nintendo Switch Pro Controller,Network problem,1.0,1756,Low
47,27,Female,GoPro Hero,Software bug,1.0,1834,Low
51,64,Male,LG Smart TV,Software bug,3.0,1720,Medium
52,54,Male,Nest Thermostat,Network problem,3.0,1396,Medium
53,37,Male,HP Pavilion,Delivery problem,4.0,1451,High
58,27,Male,Autodesk AutoCAD,Product recommendation,5.0,1832,High
59,40,Other,Apple AirPods,Cancellation request,3.0,1431,Medium
60,40,Male,Sony 4K HDR TV,Product setup,1.0,1724,Low
62,64,Female,Xbox,Payment issue,4.0,1698,High
66,49,Female,GoPro Hero,Product compatibility,5.0,1459,High
69,46,Female,Canon DSLR Camera,Refund request,1.0,2001,Low
72,34,Female,Dyson Vacuum Cleaner,Display issue,4.0,1632,High
73,36,Other,Fitbit Charge,Payment issue,3.0,1731,Medium
75,37,Other,Roomba Robot Vacuum,Display issue,1.0,1673,Low
77,63,Female,Fitbit Charge,Delivery problem,5.0,1681,High
82,24,Male,PlayStation,Software bug,1.0,1402,Low
86,46,Male,Sony PlayStation,Product recommendation,2.0,2027,Low
89,40,Male,Sony Xperia,Product recommendation,5.0,2015,High
95,60,Male,Autodesk AutoCAD,Battery life,5.0,1404,High
98,38,Male,Samsung Galaxy,Refund request,5.0,1792,High
102,40,Female,Asus ROG,Battery life,3.0,1653,Medium
106,42,Female,Nintendo Switch,Installation support,2.0,1539,Low
108,33,Male,Dyson Vacuum Cleaner,Product setup,4.0,2037,High
110,60,Female,Amazon Echo,Peripheral compatibility,2.0,1470,Low
113,27,Other,Microsoft Office,Payment issue,1.0,1363,Low
114,28,Female,Sony 4K HDR TV,Battery life,1.0,1781,Low
116,20,Female,iPhone,Software bug,5.0,1348,High
117,18,Male,Google Nest,Product setup,5.0,1998,High
119,41,Female,Fitbit Charge,Software bug,2.0,1467,Low
128,49,Male,Adobe Photoshop,Hardware issue,3.0,1574,Medium
130,43,Male,Asus ROG,Product recommendation,2.0,2001,Low
133,50,Male,Nintendo Switch,Refund request,5.0,1511,High
134,66,Male,PlayStation,Product setup,2.0,1923,Low
137,21,Other,Amazon Echo,Network problem,4.0,1325,High
138,58,Male,Adobe Photoshop,Product compatibility,2.0,1636,Low
140,47,Male,LG Washing Machine,Product setup,1.0,1550,Low
141,31,Other,Sony PlayStation,Software bug,2.0,1941,Low
147,22,Female,Apple AirPods,Product compatibility,3.0,1765,Medium
148,40,Other,LG Washing Machine,Installation support,1.0,1382,Low
149,64,Female,Philips Hue Lights,Peripheral compatibility,3.0,1602,Medium
150,29,Female,Google Pixel,Product recommendation,4.0,1757,High
161,29,Female,HP Pavilion,Product setup,3.0,2039,Medium
162,30,Male,Bose SoundLink Speaker,Payment issue,1.0,1383,Low
163,34,Male,Microsoft Office,Product recommendation,3.0,1729,Medium
164,24,Male,HP Pavilion,Product setup,5.0,1538,High
166,32,Female,Xbox,Battery life,3.0,1951,Medium
167,41,Male,Garmin Forerunner,Delivery problem,3.0,2014,Medium
169,30,Male,Sony Xperia,Network problem,1.0,1828,Low
170,44,Female,Microsoft Office,Product setup,4.0,1321,High
175,42,Other,PlayStation,Delivery problem,4.0,1388,High
182,33,Female,Samsung Soundbar,Delivery problem,4.0,1571,High
183,32,Female,Google Pixel,Network problem,4.0,1969,High
188,37,Other,Roomba Robot Vacuum,Product compatibility,1.0,1669,Low
192,58,Other,GoPro Hero,Account access,1.0,1378,Low
194,57,Male,Samsung Soundbar,Payment issue,2.0,1513,Low
197,30,Male,MacBook Pro,Delivery problem,3.0,1651,Medium
198,60,Female,Amazon Echo,Product setup,5.0,1475,High
199,66,Other,Canon EOS,Software bug,5.0,1782,High
204,43,Female,Google Nest,Software bug,3.0,1882,Medium
205,55,Male,Sony Xperia,Delivery problem,1.0,1716,Low
209,62,Other,Nintendo Switch Pro Controller,Delivery problem,1.0,2010,Low
219,65,Female,Canon EOS,Refund request,2.0,1413,Low
220,70,Female,Sony Xperia,Installation support,5.0,1599,High
225,35,Female,PlayStation,Product recommendation,4.0,1956,High
226,53,Female,Apple AirPods,Product recommendation,4.0,1675,High
229,66,Male,Microsoft Xbox Controller,Hardware issue,2.0,1628,Low
236,40,Male,iPhone,Refund request,3.0,1672,Medium
237,31,Male,Sony Xperia,Peripheral compatibility,4.0,1420,High
240,66,Male,Philips Hue Lights,Delivery problem,5.0,1473,High
241,55,Male,iPhone,Product compatibility,2.0,1380,Low
249,35,Male,Sony PlayStation,Product compatibility,3.0,1416,Medium
250,19,Female,Roomba Robot Vacuum,Product setup,2.0,1471,Low
259,33,Male,PlayStation,Battery life,5.0,1453,High
262,48,Male,Microsoft Surface,Hardware issue,2.0,1334,Low
264,46,Other,Sony Xperia,Cancellation request,3.0,1500,Medium
265,29,Male,LG OLED,Product compatibility,2.0,1927,Low
269,64,Other,MacBook Pro,Hardware issue,3.0,1549,Medium
270,63,Male,Xbox,Data loss,1.0,1671,Low
277,39,Female,Autodesk AutoCAD,Refund request,4.0,1988,High
278,21,Other,Apple AirPods,Software bug,5.0,1521,High
280,33,Male,Bose SoundLink Speaker,Refund request,2.0,1551,Low
292,35,Female,Philips Hue Lights,Product compatibility,2.0,1336,Low
294,58,Female,Philips Hue Lights,Cancellation request,3.0,1798,Medium
296,26,Female,Microsoft Xbox Controller,Installation support,5.0,1587,High
297,24,Male,Apple AirPods,Cancellation request,2.0,1789,Low
302,44,Male,Amazon Kindle,Peripheral compatibility,1.0,2023,Low
304,53,Female,Amazon Kindle,Software bug,5.0,1614,High
306,32,Female,GoPro Action Camera,Peripheral compatibility,2.0,1493,Low
310,53,Male,Nintendo Switch Pro Controller,Peripheral compatibility,2.0,1795,Low
311,46,Female,Bose QuietComfort,Product setup,2.0,1845,Low
312,46,Female,Microsoft Xbox Controller,Battery life,1.0,1867,Low
314,30,Female,GoPro Hero,Payment issue,2.0,1664,Low
317,18,Male,Apple AirPods,Cancellation request,4.0,1921,High
320,27,Other,Nest Thermostat,Software bug,4.0,1458,High
322,70,Male,Canon DSLR Camera,Battery life,3.0,1351,Medium
325,52,Female,Microsoft Surface,Hardware issue,4.0,2018,High
329,45,Female,GoPro Hero,Product recommendation,5.0,1385,High
332,21,Male,Fitbit Versa Smartwatch,Delivery problem,2.0,1936,Low
333,41,Other,Nintendo Switch Pro Controller,Installation support,2.0,1642,Low
338,45,Male,iPhone,Product compatibility,3.0,1641,Medium
339,33,Male,Roomba Robot Vacuum,Data loss,1.0,1989,Low
342,21,Male,Sony PlayStation,Cancellation request,5.0,1659,High
344,52,Other,HP Pavilion,Network problem,3.0,1543,Medium
345,54,Male,Garmin Forerunner,Payment issue,5.0,1577,High
349,28,Female,LG OLED,Battery life,3.0,1848,Medium
350,70,Other,Garmin Forerunner,Product compatibility,2.0,1379,Low
352,47,Male,Bose SoundLink Speaker,Installation support,2.0,1696,Low
353,52,Male,Nest Thermostat,Refund request,4.0,1316,High
356,38,Male,iPhone,Cancellation request,2.0,1392,Low
360,42,Male,Nintendo Switch Pro Controller,Network problem,5.0,2009,High
361,50,Other,Bose QuietComfort,Product compatibility,4.0,1705,High
364,33,Male,GoPro Action Camera,Payment issue,1.0,1411,Low
365,22,Male,Bose QuietComfort,Peripheral compatibility,3.0,2012,Medium
370,24,Male,Roomba Robot Vacuum,Account access,2.0,1740,Low
371,39,Other,Amazon Kindle,Battery life,1.0,1627,Low
372,32,Male,GoPro Action Camera,Battery life,5.0,1371,High
373,24,Other,GoPro Hero,Cancellation request,1.0,1527,Low
375,30,Female,Lenovo ThinkPad,Refund request,1.0,1455,Low
378,42,Other,Nintendo Switch,Data loss,4.0,1844,High
380,37,Female,GoPro Hero,Peripheral compatibility,5.0,1921,High
381,62,Male,Sony PlayStation,Refund request,4.0,1429,High
383,37,Other,Sony 4K HDR TV,Display issue,3.0,1694,Medium
385,49,Female,Google Nest,Software bug,4.0,1746,High
386,52,Male,iPhone,Hardware issue,2.0,1481,Low
387,22,Female,Adobe Photoshop,Data loss,4.0,1702,High
390,19,Other,Bose SoundLink Speaker,Display issue,4.0,1489,High
394,43,Female,Microsoft Surface,Refund request,1.0,1988,Low
395,21,Female,GoPro Action Camera,Delivery problem,2.0,1684,Low
402,51,Female,Sony 4K HDR TV,Cancellation request,3.0,1527,Medium
403,67,Other,Google Nest,Installation support,1.0,1364,Low
404,69,Male,Asus ROG,Battery life,2.0,1437,Low
408,49,Female,Dyson Vacuum Cleaner,Product compatibility,2.0,1965,Low
411,19,Male,Amazon Kindle,Hardware issue,4.0,1543,High
418,47,Female,Garmin Forerunner,Software bug,2.0,1876,Low
428,35,Male,Philips Hue Lights,Hardware issue,3.0,1933,Medium
429,64,Male,Sony 4K HDR TV,Data loss,1.0,1636,Low
437,69,Female,Canon EOS,Product setup,4.0,1564,High
438,57,Other,MacBook Pro,Delivery problem,2.0,1537,Low
439,55,Other,LG OLED,Network problem,2.0,1377,Low
441,39,Male,Amazon Kindle,Data loss,2.0,1897,Low
443,36,Male,Canon DSLR Camera,Delivery problem,3.0,1567,Medium
444,56,Female,Google Nest,Display issue,1.0,1716,Low
449,47,Other,Canon DSLR Camera,Software bug,1.0,2010,Low
453,21,Female,Nikon D,Account access,1.0,1588,Low
455,28,Male,Fitbit Versa Smartwatch,Cancellation request,5.0,1606,High
458,58,Male,Amazon Echo,Delivery problem,5.0,1850,High
459,40,Female,PlayStation,Payment issue,1.0,1628,Low
461,52,Other,Google Nest,Delivery problem,3.0,1779,Medium
463,51,Other,Canon EOS,Cancellation request,2.0,1846,Low
467,19,Female,Microsoft Xbox Controller,Delivery problem,5.0,1928,High
468,38,Female,GoPro Action Camera,Network problem,2.0,1785,Low
470,65,Other,Nintendo Switch,Data loss,3.0,1563,Medium
472,42,Female,Samsung Soundbar,Refund request,4.0,1524,High
474,60,Other,Canon DSLR Camera,Account access,1.0,1343,Low
483,37,Other,Amazon Kindle,Product setup,5.0,1777,High
484,70,Female,Canon DSLR Camera,Data loss,5.0,1473,High
485,33,Female,Dyson Vacuum Cleaner,Product compatibility,5.0,1508,High
492,66,Male,Autodesk AutoCAD,Account access,4.0,1969,High
495,33,Other,Fitbit Charge,Account access,1.0,1341,Low
496,66,Other,Sony PlayStation,Installation support,1.0,1734,Low
500,66,Other,Garmin Forerunner,Product compatibility,5.0,1810,High
501,59,Female,Canon DSLR Camera,Hardware issue,2.0,1530,Low
503,43,Female,Sony Xperia,Cancellation request,3.0,1447,Medium
509,40,Male,Asus ROG,Product compatibility,5.0,1330,High
511,43,Other,Canon EOS,Battery life,2.0,1420,Low
514,62,Other,Amazon Echo,Delivery problem,1.0,1636,Low
515,54,Male,GoPro Hero,Product recommendation,2.0,1588,Low
516,55,Male,Dyson Vacuum Cleaner,Software bug,4.0,1982,High
518,21,Female,Nest Thermostat,Account access,3.0,1672,Medium
524,38,Other,Nikon D,Battery life,3.0,1750,Medium
525,30,Male,Microsoft Office,Product setup,1.0,1691,Low
526,52,Female,Bose QuietComfort,Display issue,1.0,1523,Low
534,48,Other,Sony 4K HDR TV,Account access,2.0,1711,Low
536,32,Female,Microsoft Xbox Controller,Peripheral compatibility,3.0,1423,Medium
539,27,Other,Adobe Photoshop,Cancellation request,3.0,1585,Medium
543,18,Male,PlayStation,Display issue,2.0,1461,Low
