,Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Channel,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
2,48,Other,Dell XPS,Technical issue,Network problem,Social media,3.0,1850,Medium
3,27,Female,Microsoft Office,Billing inquiry,Account access,Social media,3.0,1728,Medium
4,67,Female,Autodesk AutoCAD,Billing inquiry,Data loss,Email,1.0,2011,Low
10,48,Male,Nintendo Switch,Cancellation request,Data loss,Phone,1.0,1661,Low
11,51,Male,Microsoft Xbox Controller,Product inquiry,Software bug,Chat,1.0,1383,Low
14,48,Female,Sony PlayStation,Billing inquiry,Product setup,Chat,4.0,1986,High
16,63,Other,Xbox,Product inquiry,Account access,Chat,4.0,1394,High
19,39,Female,Canon EOS,Refund request,Software bug,Chat,5.0,1613,High
28,30,Other,Fitbit Charge,Technical issue,Product recommendation,Phone,5.0,1884,High
29,67,Male,Xbox,Cancellation request,Cancellation request,Phone,1.0,1685,Low
31,60,Male,GoPro Action Camera,Technical issue,Product compatibility,Social media,3.0,1326,Medium
33,50,Male,Autodesk AutoCAD,Refund request,Hardware issue,Social media,5.0,1337,High
35,24,Other,GoPro Hero,Cancellation request,Product recommendation,Chat,1.0,1759,Low
38,19,Male,Google Pixel,Technical issue,Account access,Phone,3.0,1427,Medium
41,35,Male,Dell XPS,Billing inquiry,Product compatibility,Chat,3.0,1520,Medium
44,34,Other,HP Pavilion,Refund request,Product compatibility,Email,2.0,1412,Low
46,50,Female,Nintendo Switch Pro Controller,Refund request,Network problem,Phone,1.0,1757,Low
47,27,Female,GoPro Hero,Technical issue,Software bug,Social media,1.0,1835,Low
51,64,Male,LG Smart TV,Refund request,Software bug,Chat,3.0,1721,Medium
52,54,Male,Nest Thermostat,Refund request,Network problem,Social media,3.0,1397,Medium
53,37,Male,HP Pavilion,Cancellation request,Delivery problem,Chat,4.0,1452,High
58,27,Male,Autodesk AutoCAD,Technical issue,Product recommendation,Phone,5.0,1833,High
59,40,Other,Apple AirPods,Product inquiry,Cancellation request,Chat,3.0,1432,Medium
60,40,Male,Sony 4K HDR TV,Cancellation request,Product setup,Chat,1.0,1725,Low
62,64,Female,Xbox,Billing inquiry,Payment issue,Email,4.0,1699,High
66,49,Female,GoPro Hero,Billing inquiry,Product compatibility,Email,5.0,1460,High
69,46,Female,Canon DSLR Camera,Refund request,Refund request,Chat,1.0,2002,Low
72,34,Female,Dyson Vacuum Cleaner,Billing inquiry,Display issue,Chat,4.0,1633,High
73,36,Other,Fitbit Charge,Cancellation request,Payment issue,Social media,3.0,1732,Medium
75,37,Other,Roomba Robot Vacuum,Product inquiry,Display issue,Chat,1.0,1674,Low
77,63,Female,Fitbit Charge,Billing inquiry,Delivery problem,Email,5.0,1682,High
82,24,Male,PlayStation,Refund request,Software bug,Social media,1.0,1403,Low
86,46,Male,Sony PlayStation,Technical issue,Product recommendation,Phone,2.0,2028,Low
